Alls,Allston
Arl,Arlington
Beverly,Beverly
Bline,Brookline
Brookline,Brookline
Br,Brighton
Belmt,Belmont
Bedford,Bedford
Box,Roxbury 
Beachmont,Beachmont
Chsn,Charlestown
Camb,Cambridge
Cohasset,Cohasset
Ch,Chestnut Hill
Chel,Chelsea
Dor,Dorchester
Eb,East Boston
Evrt,Everett
Fairm't,Fairmont
Hp,Hyde Park
Iip,Hyde Park
Hingham,Hingham
Jp,Jamaica Plain
Lowell,Lowell
Lynn,Lynn
Mansfield,Mansfield
Mat,Mattapan
Maid,Malden
Mald,Malden
Med,Medford
Milt,Milton
Melr,Melrose
Needham,Needham
Newt,Newton
Newton,Newton
Nvl,Newtonville
Quincy,Quincy
Randolph,Randolph
Rox,Roxbury
Readv,Readville
Revr,Revere
Ros,Roslindale
Sb,South Boston
Sharon,Sharon
Somv,Somerville
Swmsct,Swampscott
W'town,Watertown
Winthp,Winthrop
Winthrop,Winthrop
Wol,Wollaston
Wr,West Roxbury
Wlnthp,Winthrop
Winch,Winchester
Wakefield,Wakefield
Wellesley,Wellesley
Vvr,West Roxbury
Waltham,Waltham
Winthrop,Winthrop
